age,gender,region,acquisition_channel,subscription_type,contract_type,tenure_months,monthly_revenue,total_revenue,number_of_products_used,number_of_logins_last_30_days,average_session_duration,feature_usage_score,support_tickets_last_90_days,unresolved_tickets,late_payments,discount_used,payment_method,satisfaction_score,nps_score,last_interaction_days_ago,marketing_email_open_rate,campaign_click_rate,customer_success_calls,renewal_due_in_days,engagement_score,support_pressure_score,payment_risk_score,revenue_per_product,customer_age_group,tenure_group,renewal_risk_flag,high_value_customer_flag,churn
48,Female,Asia Pacific,Partner,Enterprise,Monthly,43,914.63,39329.09,5,39,27.79,50.3,2,1,2,False,ACH,8.2,34,5,0.626,0.135,5,321,44.15,41.2,36,182.93,45-59,Long-Term,False,True,0
45,Male,Latin America,Organic Search,Professional,Monthly,57,87.46,4985.22,5,21,38.53,40.14,3,1,0,False,Invoice,8.8,50,4,0.208,0.118,1,345,30.57,46.8,0,17.49,45-59,Long-Term,False,False,0
66,Male,North America,Partner,Professional,Annual,27,129.26,3490.02,3,29,25.68,37.55,5,3,1,True,Credit Card,5.2,-15,21,0.361,0.038,3,266,32.0,100.0,26,43.09,60+,Established,False,False,0
41,Female,North America,Referral,Business,Annual,20,400.84,8016.8,6,28,50.21,74.6,3,1,0,False,ACH,6.2,2,78,0.311,0.115,2,87,46.82,57.2,0,66.81,30-44,Established,False,True,0
33,Female,Asia Pacific,Referral,Business,Annual,11,384.69,4231.59,6,29,56.66,55.35,2,0,0,False,Credit Card,9.5,93,43,0.318,0.07,2,307,42.12,18.0,0,64.11,30-44,Developing,False,True,0
27,Female,North America,Social,Basic,Annual,39,53.78,2097.42,2,21,43.66,23.24,2,0,1,False,Credit Card,7.9,56,17,0.442,0.009,0,111,27.56,24.4,18,26.89,18-29,Long-Term,False,False,0
53,Female,North America,Organic Search,Basic,Annual,14,41.39,579.46,1,6,7.11,9.96,4,2,0,True,Credit Card,7.0,10,44,0.253,0.046,1,61,9.73,80.0,8,41.39,45-59,Developing,False,False,0
78,Female,North America,Partner,Professional,Monthly,17,71.71,1219.07,3,32,30.71,33.4,0,0,1,False,Credit Card,8.3,60,120,0.191,0.065,0,291,31.43,6.8,18,23.9,60+,Developing,False,False,0
57,Male,North America,Outbound Sales,Business,Monthly,36,299.81,10793.16,3,22,24.94,39.84,3,1,1,False,Invoice,6.4,8,3,0.747,0.066,2,267,33.64,56.4,18,99.94,45-59,Established,False,False,0
29,Female,Asia Pacific,Social,Basic,Two-Year,49,79.34,3887.66,2,17,22.01,23.87,2,0,1,True,Credit Card,9.6,70,41,0.157,0.025,1,118,19.89,17.6,26,39.67,18-29,Long-Term,False,False,0
27,Male,North America,Social,Basic,Monthly,20,38.13,762.6,2,14,24.52,23.21,4,1,2,False,ACH,7.8,43,2,0.48,0.09,1,300,22.66,58.8,36,19.07,18-29,Established,False,False,0
31,Female,Europe,Paid Search,Business,Monthly,28,397.74,11136.72,6,44,28.25,45.86,4,1,1,False,ACH,6.7,21,105,0.468,0.018,3,59,42.33,63.2,18,66.29,30-44,Established,False,True,0
29,Female,North America,Social,Basic,Annual,41,51.23,2100.43,3,35,12.98,38.33,0,0,1,True,ACH,10.0,61,46,0.315,0.012,1,295,32.13,0.0,26,17.08,18-29,Long-Term,False,False,0
42,Female,Asia Pacific,Organic Search,Business,Monthly,30,236.51,7095.3,7,26,41.21,59.76,6,1,1,False,ACH,8.0,53,6,0.319,0.023,4,2,39.23,74.0,18,33.79,30-44,Established,True,False,0
50,Female,North America,Social,Basic,Two-Year,10,52.8,528.0,2,26,25.86,26.95,3,0,0,False,PayPal,7.7,47,23,0.35,0.073,0,169,27.77,33.2,0,26.4,45-59,Developing,False,False,0
48,Female,North America,Organic Search,Business,Monthly,49,270.91,13274.59,6,31,46.93,55.94,3,0,1,False,Credit Card,8.5,63,25,0.667,0.081,2,169,45.23,30.0,18,45.15,45-59,Long-Term,False,False,0
28,Male,Europe,Partner,Business,Monthly,24,419.91,10077.84,8,18,53.18,51.26,2,0,1,False,Credit Card,8.3,34,20,0.541,0.035,0,302,37.41,22.8,18,52.49,18-29,Established,False,True,0
41,Female,Middle East & Africa,Partner,Basic,Monthly,18,28.76,517.68,3,21,43.18,43.81,2,0,0,False,Credit Card,7.4,19,31,0.394,0.017,0,309,33.26,26.4,0,9.59,30-44,Developing,False,False,0
34,Non-binary,Europe,Paid Search,Professional,Monthly,26,101.97,2651.22,5,31,38.52,48.4,1,0,1,False,Credit Card,8.4,79,110,0.529,0.15,1,42,40.95,14.4,18,20.39,30-44,Established,True,False,0
65,Female,Europe,Partner,Professional,Monthly,21,69.29,1455.09,5,24,24.43,40.33,1,0,0,False,Credit Card,7.3,11,0,0.604,0.047,0,85,32.97,18.8,0,13.86,60+,Established,False,False,0
47,Male,Europe,Organic Search,Business,Annual,32,476.95,15262.4,4,31,34.38,51.12,2,0,0,False,Credit Card,8.2,57,13,0.444,0.025,3,148,39.02,23.2,0,119.24,45-59,Established,False,True,0
46,Non-binary,Europe,Referral,Basic,Annual,18,48.95,881.1,4,25,33.98,47.55,3,0,0,False,PayPal,8.9,73,31,0.107,0.002,1,357,31.66,28.4,0,12.24,45-59,Developing,False,False,0
26,Female,North America,Referral,Professional,Annual,47,160.22,7530.34,2,16,27.37,32.07,3,3,1,False,Credit Card,5.3,34,5,0.204,0.046,0,332,23.44,96.8,18,80.11,18-29,Long-Term,False,False,0
45,Non-binary,Europe,Referral,Business,Annual,8,420.73,3365.84,4,14,30.24,29.02,4,1,0,False,Credit Card,7.3,36,2,0.24,0.014,2,325,22.15,60.8,0,105.18,45-59,Developing,False,True,0
29,Prefer not to say,Europe,Referral,Professional,Annual,10,157.67,1576.7,1,15,39.57,29.52,4,1,0,False,Invoice,7.4,23,119,0.507,0.193,1,153,28.67,60.4,0,157.67,18-29,Developing,False,False,0
43,Female,North America,Referral,Basic,Annual,31,49.92,1547.52,1,8,32.81,32.04,0,0,0,True,ACH,7.7,61,24,0.201,0.022,0,313,20.52,9.2,8,49.92,30-44,Established,False,False,0
61,Male,North America,Outbound Sales,Business,Monthly,12,306.33,3675.96,3,3,33.37,19.73,4,0,1,False,ACH,8.7,46,43,0.263,0.098,1,354,16.11,37.2,18,102.11,60+,Developing,False,False,0
37,Female,North America,Paid Search,Enterprise,Annual,32,1212.78,38808.96,5,29,35.59,56.07,4,1,0,False,Invoice,7.5,33,10,0.478,0.004,3,262,39.95,60.0,0,242.56,30-44,Established,False,True,0
32,Male,North America,Organic Search,Professional,Two-Year,27,165.4,4465.8,4,27,26.9,39.95,2,2,0,False,Credit Card,6.2,21,13,0.378,0.085,1,270,32.67,67.2,0,41.35,30-44,Established,False,False,0
59,Female,Latin America,Organic Search,Business,Monthly,9,320.82,2887.38,5,30,30.53,49.6,2,0,0,False,Invoice,9.6,90,0,0.192,0.031,0,304,35.06,17.6,0,64.16,45-59,Developing,False,True,0
49,Female,North America,Organic Search,Professional,Annual,5,109.15,545.75,4,19,29.59,32.49,6,4,0,False,Credit Card,2.8,-59,20,0.277,0.138,0,12,26.88,100.0,0,27.29,45-59,New,True,False,0
29,Male,Europe,Outbound Sales,Enterprise,Monthly,53,861.93,45682.29,8,38,38.88,69.13,1,0,0,False,Credit Card,9.7,75,15,0.386,0.139,0,240,48.75,9.2,0,107.74,18-29,Long-Term,False,True,0
40,Female,North America,Organic Search,Professional,Annual,20,145.27,2905.4,3,24,13.83,40.87,4,0,0,False,ACH,4.4,-51,31,0.425,0.121,0,48,30.4,54.4,0,48.42,30-44,Established,False,False,0
38,Female,North America,Referral,Business,Annual,71,287.74,20429.54,3,36,16.86,40.82,3,0,1,False,Credit Card,8.2,35,15,0.405,0.051,2,217,35.22,31.2,18,95.91,30-44,Long-Term,False,False,0
47,Female,Asia Pacific,Paid Search,Basic,Annual,34,58.52,1989.68,2,19,30.14,48.33,5,0,0,True,Invoice,8.4,58,76,0.453,0.069,0,203,32.79,46.4,8,29.26,45-59,Established,False,False,0
41,Male,North America,Outbound Sales,Business,Annual,30,324.15,9724.5,4,34,43.05,47.84,6,1,0,False,Credit Card,5.5,40,51,0.376,0.049,2,22,40.27,84.0,0,81.04,30-44,Established,True,True,0
57,Male,North America,Paid Search,Professional,Monthly,42,127.54,5356.68,2,22,17.85,26.32,2,0,0,False,ACH,5.9,18,16,0.556,0.11,1,280,27.0,32.4,0,63.77,45-59,Long-Term,False,False,0
47,Male,North America,Partner,Enterprise,Annual,10,1095.23,10952.3,5,38,48.43,63.2,2,1,0,False,ACH,9.4,100,23,0.349,0.059,1,158,47.31,36.4,0,219.05,45-59,Developing,False,True,0
21,Female,Europe,Outbound Sales,Professional,Annual,53,121.54,6441.62,4,14,43.02,37.75,2,0,0,True,Credit Card,7.6,51,81,0.203,0.052,0,205,26.79,25.6,8,30.38,18-29,Long-Term,False,False,0
51,Female,Middle East & Africa,Paid Search,Business,Annual,28,304.81,8534.68,8,37,56.63,65.99,3,2,0,False,Invoice,6.2,12,20,0.376,0.037,2,197,49.06,75.2,0,38.1,45-59,Established,False,False,0
33,Male,Europe,Partner,Professional,Monthly,30,121.67,3650.1,3,9,25.41,24.69,6,2,0,False,Credit Card,4.3,-14,22,0.321,0.036,0,202,18.93,100.0,0,40.56,30-44,Established,False,False,0
22,Female,Europe,Paid Search,Basic,Annual,10,48.2,482.0,2,23,11.02,27.9,4,2,1,False,Credit Card,4.5,-24,24,0.378,0.02,0,288,24.15,90.0,18,24.1,18-29,Developing,False,False,0
60,Female,North America,Outbound Sales,Professional,Annual,50,150.57,7528.5,4,21,22.48,40.74,5,3,0,False,Credit Card,2.7,-11,48,0.39,0.109,0,76,29.95,100.0,0,37.64,60+,Long-Term,False,False,0
40,Male,Asia Pacific,Partner,Business,Monthly,28,324.37,9082.36,5,18,24.02,46.94,1,0,0,False,Credit Card,8.0,39,9,0.691,0.061,4,314,33.27,16.0,0,64.87,30-44,Established,False,True,0
51,Female,North America,Organic Search,Basic,Monthly,35,39.02,1365.7,2,22,35.79,35.12,0,0,0,False,Credit Card,10.0,85,16,0.249,0.081,0,52,29.11,0.0,0,19.51,45-59,Established,False,False,0
47,Male,North America,Organic Search,Professional,Two-Year,19,135.91,2582.29,4,22,35.56,40.14,4,2,0,True,PayPal,5.4,20,23,0.694,0.011,1,187,34.33,86.4,8,33.98,45-59,Established,False,False,0
44,Male,Europe,Partner,Professional,Monthly,32,116.74,3735.68,3,24,33.26,33.14,3,1,1,False,Invoice,6.4,17,20,0.484,0.073,2,211,31.26,56.4,18,38.91,30-44,Established,False,False,0
37,Male,North America,Referral,Professional,Monthly,51,102.29,5216.79,4,17,35.5,42.23,3,0,1,True,Invoice,7.6,37,3,0.541,0.071,0,365,31.83,33.6,26,25.57,30-44,Long-Term,False,False,0
31,Female,Latin America,Referral,Business,Monthly,15,340.22,5103.3,3,24,40.76,33.87,4,0,0,False,ACH,7.8,35,27,0.324,0.055,5,90,30.89,40.8,0,113.41,30-44,Developing,False,True,0
18,Prefer not to say,Middle East & Africa,Outbound Sales,Basic,Annual,28,65.07,1821.96,2,14,26.64,28.89,2,0,2,True,Invoice,7.6,53,74,0.323,0.122,0,129,23.45,25.6,44,32.53,18-29,Established,False,False,0
61,Male,Asia Pacific,Organic Search,Basic,Annual,45,55.34,2490.3,1,9,29.67,27.73,8,3,0,False,Invoice,5.5,-3,90,0.128,0.013,2,212,18.35,100.0,0,55.34,60+,Long-Term,False,False,0
18,Female,North America,Social,Basic,Annual,23,37.27,857.21,2,11,19.19,30.71,6,1,0,False,Credit Card,6.9,37,22,0.575,0.291,0,20,25.72,78.4,0,18.64,18-29,Established,True,False,0
57,Male,Asia Pacific,Organic Search,Enterprise,Monthly,27,1144.85,30910.95,8,46,52.48,79.36,1,0,0,False,Credit Card,8.4,36,1,0.664,0.101,3,64,59.87,14.4,0,143.11,45-59,Established,False,True,0
37,Male,Asia Pacific,Outbound Sales,Professional,Annual,9,131.12,1180.08,2,18,10.18,29.0,1,0,0,False,Credit Card,10.0,100,28,0.632,0.157,0,157,26.07,8.0,0,65.56,30-44,Developing,False,False,0
49,Male,Europe,Referral,Professional,Two-Year,9,122.73,1104.57,2,4,30.1,16.95,2,1,0,False,ACH,7.8,31,27,0.171,0.025,0,111,13.55,42.8,0,61.36,45-59,Developing,False,False,0
23,Male,Europe,Organic Search,Business,Annual,31,355.19,11010.89,5,17,37.6,44.95,1,0,0,False,Credit Card,10.0,73,48,0.34,0.102,3,163,31.28,8.0,0,71.04,18-29,Established,False,True,0
21,Male,North America,Organic Search,Enterprise,Monthly,69,1234.38,85172.22,7,39,30.84,60.86,3,2,0,False,Credit Card,8.3,34,11,0.521,0.132,1,22,46.72,66.8,0,176.34,18-29,Long-Term,True,True,0
44,Male,Europe,Organic Search,Basic,Monthly,13,42.11,547.43,5,35,23.34,62.01,4,1,0,False,Credit Card,8.3,57,10,0.525,0.104,1,83,43.89,56.8,0,8.42,30-44,Developing,False,False,0
31,Female,North America,Paid Search,Business,Monthly,26,272.61,7087.86,7,37,41.87,80.65,1,0,0,False,Credit Card,10.0,66,1,0.583,0.105,2,150,53.87,8.0,0,38.94,30-44,Established,False,False,0
42,Female,Asia Pacific,Referral,Professional,Annual,20,125.19,2503.8,3,40,31.94,53.97,1,0,0,True,Invoice,8.7,32,19,0.173,0.011,0,294,40.57,13.2,8,41.73,30-44,Established,False,False,0
54,Male,North America,Paid Search,Basic,Annual,8,59.23,473.84,2,16,10.74,26.76,6,4,1,True,Invoice,6.2,4,19,0.145,0.012,2,21,18.29,100.0,26,29.62,45-59,Developing,True,False,0
61,Male,Europe,Outbound Sales,Business,Monthly,26,282.97,7357.22,3,25,21.75,35.23,3,0,0,False,ACH,8.4,62,63,0.205,0.045,2,248,27.44,30.4,0,94.32,60+,Established,False,False,0
26,Male,Europe,Partner,Basic,Annual,13,58.23,756.99,3,13,17.29,36.52,3,2,1,False,Credit Card,9.1,78,9,0.409,0.06,0,206,24.06,63.6,18,19.41,18-29,Developing,False,False,0
34,Male,Asia Pacific,Paid Search,Professional,Annual,36,138.14,4973.04,3,14,7.5,25.18,5,0,0,False,PayPal,8.1,32,12,0.396,0.016,0,6,18.98,47.6,0,46.05,30-44,Established,True,False,0
54,Female,Europe,Paid Search,Professional,Annual,58,137.82,7993.56,1,31,29.97,31.59,6,0,0,True,ACH,7.6,3,35,0.398,0.064,0,146,32.39,57.6,8,137.82,45-59,Long-Term,False,False,0
32,Male,Middle East & Africa,Paid Search,Business,Annual,42,434.71,18257.82,2,9,13.0,13.34,10,1,0,False,Credit Card,4.2,-15,47,0.427,0.009,0,342,14.35,100.0,0,217.36,30-44,Long-Term,False,True,0
44,Female,Asia Pacific,Paid Search,Professional,Monthly,21,103.41,2171.61,3,19,29.29,33.36,3,1,0,True,ACH,6.3,28,37,0.145,0.046,0,310,24.86,56.8,8,34.47,30-44,Established,False,False,0
54,Female,North America,Paid Search,Professional,Annual,14,109.05,1526.7,3,18,24.05,34.55,4,2,1,True,ACH,7.4,19,5,0.485,0.093,4,206,27.82,78.4,26,36.35,45-59,Developing,False,False,0
28,Female,North America,Outbound Sales,Basic,Annual,71,63.17,4485.07,2,30,8.51,28.79,6,1,0,False,Invoice,7.3,6,17,0.368,0.097,0,152,27.76,76.8,0,31.58,18-29,Long-Term,False,False,0
49,Female,Europe,Outbound Sales,Professional,Monthly,18,74.22,1335.96,3,17,27.21,31.47,7,2,0,False,Invoice,2.9,-48,91,0.542,0.095,2,296,27.54,100.0,0,24.74,45-59,Developing,False,False,0
36,Male,North America,Outbound Sales,Professional,Two-Year,22,138.38,3044.36,3,23,34.42,33.91,5,1,1,False,Invoice,6.8,45,40,0.236,0.003,3,235,28.06,70.8,18,46.13,30-44,Established,False,False,0
32,Female,Europe,Paid Search,Professional,Monthly,33,103.78,3424.74,5,40,26.4,58.19,3,0,2,False,ACH,8.4,39,12,0.216,0.122,2,96,42.51,30.4,36,20.76,30-44,Established,False,False,0
52,Female,North America,Partner,Professional,Monthly,22,112.3,2470.6,2,16,14.66,26.56,3,2,0,True,ACH,3.9,-31,7,0.356,0.08,1,221,21.64,84.4,8,56.15,45-59,Established,False,False,1
50,Female,Europe,Organic Search,Enterprise,Monthly,37,707.74,26186.38,5,24,26.8,49.46,3,0,0,False,Credit Card,9.1,31,50,0.6,0.027,1,188,35.84,27.6,0,141.55,45-59,Long-Term,False,True,0
43,Female,North America,Organic Search,Enterprise,Monthly,36,1211.4,43610.4,7,27,35.09,59.44,3,1,0,False,ACH,8.4,79,1,0.435,0.029,2,346,39.83,48.4,0,173.06,30-44,Established,False,True,0
40,Male,Asia Pacific,Partner,Business,Monthly,34,416.02,14144.68,4,24,32.18,60.46,4,2,1,False,ACH,5.8,1,13,0.371,0.131,0,79,38.74,84.8,18,104.0,30-44,Established,False,True,0
42,Female,Europe,Referral,Professional,Monthly,30,137.33,4119.9,4,25,21.68,33.99,1,1,0,False,ACH,8.9,65,27,0.209,0.063,0,208,27.28,30.4,0,34.33,30-44,Established,False,False,0
40,Male,North America,Paid Search,Enterprise,Monthly,29,554.0,16066.0,6,27,33.81,48.87,1,0,0,False,Credit Card,8.0,56,64,0.419,0.021,5,235,36.21,16.0,0,92.33,30-44,Established,False,True,0
56,Male,Asia Pacific,Referral,Business,Monthly,47,359.79,16910.13,4,29,43.48,38.66,7,6,0,False,Credit Card,4.2,-2,36,0.54,0.093,2,63,37.48,100.0,0,89.95,45-59,Long-Term,False,True,0
32,Female,Europe,Partner,Professional,Monthly,16,129.26,2068.16,4,31,29.75,50.85,4,0,0,False,PayPal,4.5,2,52,0.432,0.066,0,39,38.49,54.0,0,32.32,30-44,Developing,True,False,0
63,Female,Europe,Outbound Sales,Professional,Annual,25,139.6,3490.0,5,29,35.35,53.92,0,0,1,False,Credit Card,10.0,53,45,0.5,0.026,2,333,39.71,0.0,18,27.92,60+,Established,False,False,0
38,Male,North America,Partner,Professional,Monthly,27,89.9,2427.3,2,16,11.42,30.35,1,1,1,False,Invoice,9.0,82,6,0.2,0.089,1,280,20.8,30.0,18,44.95,30-44,Established,False,False,0
31,Male,North America,Outbound Sales,Professional,Two-Year,23,206.07,4739.61,5,30,38.2,55.81,2,0,0,False,ACH,10.0,98,30,0.401,0.088,1,166,40.79,16.0,0,41.21,30-44,Established,False,False,0
45,Male,Asia Pacific,Outbound Sales,Enterprise,Annual,40,1314.08,52563.2,5,18,41.07,38.66,2,0,0,False,Credit Card,5.3,-17,63,0.16,0.032,3,145,27.88,34.8,0,262.82,45-59,Long-Term,False,True,0
21,Male,Europe,Paid Search,Professional,Annual,31,136.13,4220.03,3,25,29.73,46.79,3,1,1,False,Credit Card,8.3,51,21,0.199,0.022,0,292,31.88,48.8,18,45.38,18-29,Established,False,False,0
35,Female,Asia Pacific,Paid Search,Professional,Annual,27,127.9,3453.3,5,25,49.31,51.39,1,1,0,True,Credit Card,8.4,38,63,0.321,0.009,1,30,37.44,32.4,8,25.58,30-44,Established,True,False,0
47,Prefer not to say,Europe,Outbound Sales,Business,Annual,24,409.76,9834.24,5,38,37.25,52.89,0,0,0,False,Credit Card,9.0,84,2,0.416,0.174,1,259,44.27,4.0,0,81.95,45-59,Established,False,True,0
41,Male,North America,Referral,Basic,Annual,59,49.46,2918.14,1,12,12.62,0.0,0,0,1,False,Credit Card,10.0,80,32,0.208,0.084,2,337,10.16,0.0,18,49.46,30-44,Long-Term,False,False,0
47,Non-binary,Europe,Organic Search,Business,Monthly,35,288.15,10085.25,5,16,39.43,54.24,1,0,0,False,Credit Card,8.2,70,180,0.378,0.09,2,141,34.18,15.2,0,57.63,45-59,Established,False,False,0
25,Male,Europe,Partner,Basic,Annual,18,52.24,940.32,4,23,35.67,42.27,2,1,1,True,PayPal,9.4,48,93,0.692,0.212,1,135,37.42,36.4,26,13.06,18-29,Developing,False,False,0
46,Female,Europe,Paid Search,Professional,Annual,77,186.54,14363.58,3,20,23.13,27.28,1,0,0,True,ACH,8.9,60,3,0.379,0.049,1,365,24.87,12.4,8,62.18,45-59,Long-Term,False,False,0
34,Female,Asia Pacific,Partner,Professional,Annual,63,157.47,9920.61,3,11,31.98,22.26,1,0,0,False,Invoice,8.2,61,0,0.194,0.01,1,151,18.58,15.2,0,52.49,30-44,Long-Term,False,False,0
29,Male,Europe,Organic Search,Basic,Two-Year,16,47.65,762.4,3,17,27.67,28.32,4,1,0,True,Invoice,5.7,8,30,0.414,0.158,0,73,26.02,67.2,8,15.88,18-29,Developing,False,False,0
19,Female,Europe,Referral,Professional,Monthly,49,75.8,3714.2,1,23,24.14,21.22,5,0,0,False,Credit Card,7.5,41,22,0.204,0.072,1,313,23.0,50.0,0,75.8,18-29,Long-Term,False,False,0
35,Male,North America,Organic Search,Basic,Monthly,10,42.05,420.5,3,16,21.02,43.77,2,0,2,False,Credit Card,8.1,49,38,0.567,0.062,0,151,29.74,23.6,36,14.02,30-44,Developing,False,False,0
33,Female,North America,Social,Business,Two-Year,38,363.62,13817.56,7,25,51.52,63.3,2,0,0,True,Credit Card,10.0,75,57,0.402,0.065,2,270,42.73,16.0,8,51.95,30-44,Long-Term,False,True,0
40,Female,North America,Organic Search,Basic,Monthly,5,49.1,245.5,2,21,21.49,30.82,4,2,1,False,Invoice,7.9,44,38,0.217,0.019,1,246,24.19,76.4,18,24.55,30-44,New,False,False,0
48,Male,Asia Pacific,Referral,Professional,Monthly,32,135.1,4323.2,1,0,11.66,0.0,7,0,0,False,Credit Card,6.9,1,2,0.159,0.037,2,182,3.8,68.4,0,135.1,45-59,Established,False,False,0
30,Male,Asia Pacific,Organic Search,Business,Monthly,23,200.96,4622.08,4,24,21.06,31.31,5,2,0,False,ACH,6.5,26,21,0.51,0.043,3,59,28.75,90.0,0,50.24,30-44,Established,False,False,0
19,Non-binary,North America,Outbound Sales,Professional,Monthly,37,136.95,5067.15,1,14,7.51,1.47,7,2,0,False,Credit Card,6.0,-4,154,0.414,0.141,1,31,13.3,100.0,0,136.95,18-29,Long-Term,True,False,0
43,Female,North America,Partner,Enterprise,Monthly,24,1003.98,24095.52,8,31,37.58,61.67,1,0,1,False,Credit Card,9.5,57,72,0.538,0.061,2,142,43.99,10.0,18,125.5,30-44,Established,False,True,0
33,Female,North America,Paid Search,Basic,Two-Year,12,57.0,684.0,1,17,21.43,22.75,3,2,1,False,Credit Card,8.9,54,6,0.16,0.038,1,263,19.63,64.4,18,57.0,30-44,Developing,False,False,0
44,Male,Europe,Outbound Sales,Professional,Monthly,25,105.56,2639.0,3,16,14.21,31.26,3,0,1,True,Credit Card,8.4,34,11,0.52,0.015,0,237,23.97,30.4,26,35.19,30-44,Established,False,False,0
23,Prefer not to say,Europe,Organic Search,Business,Monthly,14,390.59,5468.26,1,22,25.93,20.44,6,3,0,False,Credit Card,6.1,5,23,0.207,0.019,0,48,22.11,100.0,0,390.59,18-29,Developing,False,True,0
59,Female,North America,Referral,Business,Monthly,66,335.61,22150.26,1,6,1.0,9.73,4,2,0,False,ACH,8.0,70,81,0.239,0.077,1,141,8.86,76.0,0,335.61,45-59,Long-Term,False,True,0
25,Female,North America,Paid Search,Business,Monthly,39,293.13,11432.07,3,25,36.45,29.76,2,0,0,False,ACH,8.3,38,87,0.281,0.07,2,96,29.13,22.8,0,97.71,18-29,Long-Term,False,False,0
30,Male,North America,Social,Enterprise,Annual,37,1042.42,38569.54,4,21,31.74,28.28,3,0,0,False,Invoice,6.8,30,37,0.387,0.108,5,102,27.63,36.8,0,260.6,30-44,Long-Term,False,True,0
51,Female,Asia Pacific,Outbound Sales,Professional,Two-Year,27,114.26,3085.02,5,28,40.93,49.82,1,1,0,False,Invoice,9.1,70,23,0.43,0.039,1,315,38.35,29.6,0,22.85,45-59,Established,False,False,0
40,Male,North America,Outbound Sales,Basic,Annual,17,47.06,800.02,3,20,28.55,49.95,4,1,0,False,ACH,7.8,46,16,0.324,0.059,1,348,32.07,58.8,0,15.69,30-44,Developing,False,False,0
48,Male,Europe,Referral,Business,Two-Year,48,559.43,26852.64,2,17,16.5,10.31,6,1,0,False,Credit Card,6.8,-15,29,0.167,0.083,1,323,15.64,78.8,0,279.71,45-59,Long-Term,False,True,0
64,Female,North America,Social,Enterprise,Annual,16,760.13,12162.08,5,23,65.19,56.87,2,0,0,False,Credit Card,9.0,72,45,0.346,0.021,1,205,41.09,20.0,0,152.03,60+,Developing,False,True,0
32,Female,North America,Outbound Sales,Professional,Annual,39,151.48,5907.72,5,26,31.19,38.92,5,2,0,True,Invoice,7.0,14,56,0.423,0.028,0,308,32.49,88.0,8,30.3,30-44,Long-Term,False,False,0
46,Female,North America,Organic Search,Business,Monthly,34,372.82,12675.88,5,26,26.22,52.7,3,2,0,False,PayPal,7.0,49,1,0.362,0.066,2,64,35.6,72.0,0,74.56,45-59,Established,False,True,0
46,Non-binary,Europe,Referral,Professional,Annual,43,126.22,5427.46,2,31,18.15,23.64,4,2,0,False,ACH,5.2,12,26,0.414,0.129,1,56,28.95,87.2,0,63.11,45-59,Long-Term,False,False,0
31,Female,North America,Organic Search,Professional,Annual,17,97.37,1655.29,5,36,41.87,75.01,3,1,0,True,ACH,7.7,26,2,0.42,0.019,2,94,49.25,51.2,8,19.47,30-44,Developing,False,False,0
29,Male,Asia Pacific,Social,Professional,Annual,28,89.87,2516.36,2,6,24.07,14.9,6,0,0,False,Credit Card,5.9,-9,26,0.288,0.044,0,57,14.22,64.4,0,44.94,18-29,Established,False,False,0
38,Male,Asia Pacific,Partner,Basic,Monthly,10,38.03,380.3,2,23,10.5,35.31,4,0,0,True,Credit Card,7.5,34,3,0.159,0.022,1,288,24.12,42.0,8,19.02,30-44,Developing,False,False,0
48,Female,Europe,Referral,Business,Annual,18,285.39,5137.02,6,48,50.04,77.39,1,0,0,False,Credit Card,8.7,45,0,0.314,0.06,2,305,55.86,13.2,0,47.56,45-59,Developing,False,False,0
18,Male,North America,Paid Search,Basic,Annual,30,44.73,1341.9,1,9,19.95,31.04,2,0,2,False,PayPal,8.6,57,3,0.261,0.031,0,212,19.32,21.6,36,44.73,18-29,Established,False,False,0
18,Male,North America,Paid Search,Basic,Two-Year,17,82.8,1407.6,2,12,40.82,32.23,3,1,1,False,ACH,4.7,4,1,0.179,0.021,0,153,23.36,63.2,18,41.4,18-29,Developing,False,False,0
49,Prefer not to say,Europe,Partner,Basic,Monthly,56,45.37,2540.72,1,14,10.01,11.03,7,0,2,True,Invoice,4.6,-4,2,0.208,0.052,3,9,13.61,77.6,44,45.37,45-59,Long-Term,True,False,0
38,Male,Europe,Referral,Basic,Monthly,18,47.99,863.82,3,34,38.62,53.36,2,0,1,True,Credit Card,8.7,49,19,0.499,0.056,3,94,42.53,21.2,26,16.0,30-44,Developing,False,False,0
52,Male,Asia Pacific,Outbound Sales,Professional,Monthly,15,143.37,2150.55,4,24,20.19,18.43,5,1,0,False,Credit Card,4.7,1,81,0.434,0.075,1,193,24.31,79.2,0,35.84,45-59,Developing,False,False,0
36,Male,Europe,Organic Search,Business,Annual,24,331.09,7946.16,4,26,32.38,34.02,1,0,1,False,Credit Card,9.5,81,29,0.31,0.072,0,83,30.51,10.0,18,82.77,30-44,Established,False,True,0
28,Female,North America,Social,Business,Monthly,30,276.93,8307.9,6,29,36.86,42.71,2,1,2,False,ACH,7.4,20,1,0.63,0.299,0,360,40.61,44.4,36,46.16,18-29,Established,False,False,0
58,Female,Europe,Social,Basic,Monthly,15,22.04,330.6,6,35,19.12,70.87,2,0,1,False,Invoice,8.4,57,13,0.298,0.005,1,190,42.62,22.4,18,3.67,45-59,Developing,False,False,0
37,Male,Europe,Referral,Basic,Two-Year,36,65.92,2373.12,7,36,51.95,69.91,1,0,3,False,Credit Card,8.6,41,70,0.488,0.112,0,32,50.93,13.6,54,9.42,30-44,Established,True,False,0
